,time,x,y,z,rx,ry,rz,maze_type,condition,collision_status,Participant,Distance,Total Distance
149425,1689854445398,0.5200694,0.219,0.8165519,0,0,0,Maze1,all,0,BQS15,0.008323199999999975,28.75496784524558
150317,1689854467949,-3.262289,0.219,0.3985415,0,0,0,Maze3,contra_audio,0,BQS15,0.008323199999999975,22.275905716997766
152089,1689854506299,0.5270463,0.219,0.883289,0,0,0,Maze1,invisible,0,BQS15,0.008323199999999975,43.57282833197065
153030,1689854530382,0.5292227,0.219,-2.772642,0,0,0,Maze2,const_contra_audio2,0,BQS15,0.008322999999999858,27.44582908542717
155077,1689854574681,-3.145134,0.2194093,0.4640312,0,0,0,Maze3,invisible,0,BQS15,0.00834299999999999,59.550722679346656
160659,1689854692431,0.5708512,0.2189995,-2.772504,0,0,0,Maze2,contra_visual,0,BQS15,0.008334000000000064,73.04590031265884
161431,1689854710281,-3.285702,0.219,0.3922606,0,0,0,Maze3,visual_only,0,BQS15,0.016660600000000025,32.17133269175616
162349,1689854730448,0.5407981,0.219,-2.770932,0,0,0,Maze2,all,0,BQS15,0.00835800000000031,30.622006596641036
163005,1689854747148,-3.292328,0.219,-2.791827,0,0,0,Maze4,contra_visual,0,BQS15,0.008345999999999965,29.384705853758696
163707,1689854762749,0.5343615,0.219,0.7993525,0,0,0,Maze1,visual_only,0,BQS15,0.008334700000000028,25.36461121230933
169743,1689854886763,-0.4199599,0.2189999,-0.5175052,0,0,0,Maze4,invisible,0,BQS15,0.005409699999999962,46.79899068414
170392,1689854905348,0.5319049,0.219,0.8264877,0,0,0,Maze1,const_contra_audio2,0,BQS15,0.008348499999999981,24.112272828170013
172699,1689854971248,0.403037,0.2186393,-2.820853,0,0,0,Maze2,const_contra_visual,0,BQS15,0.008338000000000179,64.07018593852813
174360,1689855009384,0.5285507,0.2189386,0.806504,0,0,0,Maze1,contra_visual,0,BQS15,0.008323200000000086,42.415043928343636
175382,1689855032882,-3.300366,0.2189999,0.3933252,0,0,0,Maze3,const_contra_audio2,0,BQS15,0.008340199999999964,24.355108727367796
181395,1689855155229,-2.558381,0.2189985,-1.430177,0,0,0,Maze4,audio_only,0,BQS15,0.00588600000000028,51.39555335633449
182298,1689855175865,-3.302358,0.219,0.3855889,0,0,0,Maze3,all,0,BQS15,0.008357300000000012,25.79638748250343
183115,1689855195582,-3.364192,0.2190003,-2.794846,0,0,0,Maze4,visual_only,0,BQS15,0.008323000000000302,24.847813078892
186322,1689855264914,0.5336634,0.2189996,0.8000959,0,0,0,Maze1,audio_only,0,BQS15,0.008341700000000007,39.36887157997705
188274,1689855309481,-3.453385,0.218681,-2.832163,0,0,0,Maze4,const_contra_visual,0,BQS15,0.008323999999999998,43.27864323101038
189080,1689855327447,0.519997,0.219,-2.776306,0,0,0,Maze2,visual_only,0,BQS15,0.008322999999999858,32.12032352691873
189743,1689855346531,-3.334621,0.219,-2.786608,0,0,0,Maze4,all,0,BQS15,0.008323000000000302,26.205314772320826
190374,1689855361247,0.5254471,0.219,0.8207906,0,0,0,Maze1,contra_audio,0,BQS15,0.008323199999999975,22.9553012121567
192976,1689855416180,-3.269252,0.2189994,0.7611927,0,0,0,Maze3,const_contra_visual,0,BQS15,0.0153994999999999,47.77701890855435
198990,1689855538679,-1.262667,0.2136544,0.8287799,0,0,0,Maze2,audio_only,0,BQS15,0.0,60.06776786180917
201200,1689855588364,0.5241495,0.2189994,0.8622209,0,0,0,Maze1,const_contra_visual,0,BQS15,0.008338100000000015,43.84099099988757
207206,1689855710963,0.4837764,0.2185986,0.7909528,0,0,0,Maze2,invisible,0,BQS15,0.01670723618316325,60.29363539366506
208009,1689855730080,-3.328005,0.219,-2.787745,0,0,0,Maze4,const_contra_audio2,0,BQS15,0.00834299999999999,23.706144872892807
208885,1689855750180,0.4035871,0.219,-2.820827,0,0,0,Maze2,contra_audio,0,BQS15,0.008322999999999858,32.99189955966063
214917,1689855872079,-1.175683,0.2189999,0.9797266,0,0,0,Maze3,audio_only,0,BQS15,0.0012527104054808407,36.757525587417234
216855,1689672214022,-3.207449,0.219,-2.812474,0,0,0,Maze4,const_contra_audio2,0,CTS02,0.006657999999999831,34.60744622753281
218399,1689672257221,-3.292912,0.219,0.3804135,0,0,0,Maze3,const_contra_visual,0,CTS02,0.005826100000000001,60.38387778527736
222543,1689672347956,0.4026756,0.219,-2.830921,0,0,0,Maze2,contra_visual,0,CTS02,0.006241999999999859,89.94956929862457
223405,1689672370821,-3.232812,0.219,0.3967188,0,0,0,Maze3,const_contra_audio2,0,CTS02,0.008331699999999997,35.21380759815713
224140,1689672387738,0.5313224,0.219,0.7687389,0,0,0,Maze1,all,0,CTS02,0.007090299999999994,38.42771847864081
225065,1689672408871,0.4306397,0.219,-2.808024,0,0,0,Maze2,contra_audio,0,CTS02,0.008322999999999858,40.09244615097983
226437,1689672438488,-3.401746,0.219,-2.803778,0,0,0,Maze4,const_contra_visual,0,CTS02,0.00835499999999989,53.61337458176149
227295,1689672459521,0.5319018,0.219,0.7805212,0,0,0,Maze1,contra_audio,0,CTS02,0.008323199999999975,32.82401608212238
228258,1689672480806,0.4231482,0.219,-2.825412,0,0,0,Maze2,all,0,CTS02,0.008322999999999858,37.71672511043548
234306,1689672603785,-2.153285,0.219,0.8719773,0,0,0,Maze1,const_contra_visual,0,CTS02,0.002917999999999754,66.01418297085772
235799,1689672641105,-3.097368,0.219,0.5899594,0,0,0,Maze3,contra_visual,0,CTS02,0.0,42.70388654871609
